handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_55db0662-7417-c03a-c91e-f670761f0a4a,Product,Lapis Lazuli Chakra Self-love,<p>&nbsp;</p>,888851_d53f715ee45a42d3ae06f7b98d59ad81~mv2_d_3024_4032_s_4_2.jpg,Yoni Eggs,YL001,,1449.0,,false,PERCENT,0.0,10,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span>Chakra vajíčka (v originále tzv. yoni eggs) jsou polodrahokamy vybroušené do specifického tvaru vajíček různých velikostí, používané pro posílení svalů pánevního dna a kultivaci sexuální energie. Slovo „yoni“ pochází ze sanskrtu a označuje ženské genitálie, v doslovném překladu pak znamená „posvátné místo“.</span></span></p>
",POUŽITÍ,"<p><span><span>Vložte Chakra vajíčko do pochvy silnějším koncem napřed (pokud jste zvyklá, použijte lubrikant) a uvolněně dýchejte. K nejzákladnějším cvikům patří vtahování Chakra vajíčka při nádechu pomocí svalů pánevního dna dovnitř, při výdechu naopak svaly povolujte a nechte vajíčko vyklouznout až k poševnímu vchodu. Cítit, jak ve vás vaše Chakra vajíčko putuje, vyžaduje určitý um a čas, proto buďte trpělivá a učte se naslouchat vlastnímu tělu.</span></span></p>

<p>&nbsp;</p>

<p><span><span>Chcete se o cvičení s Chakra vajíčky zajímat více do podrobností? My zde uvádíme jen naprostý základ, ale existují celé knihy o jejich historii, použití, zdravotních přínosech a cvicích. Doporučujeme například „How to use yoni eggs for sensual healing“ od Grace Diaz, která má i velmi zajímavý YouTube kanál.</span></span></p>
",ESOTERIKA,"<p>Mystický polodrahokam s výrazně modrou barvou a zlatavými částečkami pyritu. Dodává svému nositeli silnou energii.</p>
",,,,,,,,,,,,
product_78daa81a-1314-cca0-0249-2b2f27594b09,Product,Obsidiánový Chakra Healing,<p>&nbsp;</p>,2c1c09_69ee6a27674a4a74b8076a3f67966412~mv2_d_3000_3000_s_4_2.png,Chakra Healing,HL-003,,2549.0,,true,AMOUNT,0.0,2,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span><span>+ velikost&nbsp;7,6 x 3,4 cm</span></span></span></p>

<p>+ 100% přírodní obsidián bez chemických a umělých přísad<br>
+ každý Chakra je originál ručně vyráběný a opracovávaný bez použití barviv a chemikálií<br>
+ původ minerálů Asie<br>
+ určený k intimní masáži<br>
<br>
Mějte, prosím, na paměti, že Chakra jsou reálné polodrahokamy a každý je ručně vyráběný a opracovaný originál s veškerou svojí individualitou, jedinečnou strukturou, barvou i částicemi uvnitř, které nejsou vadami, ale přirozenou součástí minerálu. Není bohužel v našich silách fotit každý Chakra zvlášť, proto na fotografii vidíte pouze typ, ne konkrétní Chakra, který obdržíte.</p>

<p>&nbsp;</p>

<p>Kód výrobku: HL-003</p>
",ESOTERIKA,"<p><span><span><span><span>Zajímá vás i esoterický pohled na pomůcky Chakra?</span></span></span></span></p>

<p>&nbsp;</p>

<p><span><span>Potom je dobré vědět, že černý obsidián je ochranný kámen, jež jsme vybrali pro pomůcky Chakra pro jeho silně léčivé účinky. Vynáší z vašeho nejhlubšího nitra na povrch pravdu, odhaluje emocionální bloky a traumata a pomáhá je jednou pro vždy vyřešit.</span></span></p>

<p>&nbsp;</p>

<p><span><span>Patří ke kamenům vyzařujícím mužskou energii podporující proces léčení, odvahu a silnou vůli.</span></span></p>
",,,,,,,,,,,,,,
product_1123991e-79bc-a65a-2b79-f2c905e5b9af,Product,Obsidiánový Chakra Healing (sada 3 ks),<p>&nbsp;</p>,2c1c09_8bc545a6edf640a09cc670fed9df746d~mv2_d_3000_3000_s_4_2.png,Chakra Healing,HL-008,,1099.0,,true,AMOUNT,0.0,6,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span>Chakra vajíčka (v originále tzv. yoni eggs) jsou polodrahokamy vybroušené do specifického tvaru vajíček různých velikostí, používané pro posílení svalů pánevního dna a kultivaci sexuální energie. Slovo „yoni“ pochází ze sanskrtu a označuje ženské genitálie, v doslovném překladu pak znamená „posvátné místo“.</span></span></p>

<p>&nbsp;</p>

<p><span><span>Odhaduje se, že ženy používají tato vajíčka už po více než 5 000 let. Císařovny a konkubíny královského paláce v Číně používaly vejce vyřezávaná z nefritu, aby získaly přístup k sexuální síle, probudily v sobě smyslnost a udržely si zdraví až do svého stáří. Až do nedávné doby byla tato stará tajná praxe dostupná pouze členům královské rodiny a vybraným praktikujícím taoismus.</span></span></p>

<p>&nbsp;</p>

<p><span><span><span>+ velikost&nbsp;4,5 x 3 cm, 4 x 2,5 cm, 3 x 2 cm</span></span></span></p>

<p>+ 100% přírodní obsidián bez chemických a umělých přísad<br>
+ každý Chakra je originál ručně vyráběný a opracovávaný bez použití barviv a chemikálií<br>
+ původ minerálů Asie<br>
+ určený k intimní masáži<br>
<br>
Mějte, prosím, na paměti, že Chakra jsou reálné polodrahokamy a každý je ručně vyráběný a opracovaný originál s veškerou svojí individualitou, jedinečnou strukturou, barvou i částicemi uvnitř, které nejsou vadami, ale přirozenou součástí minerálu. Není bohužel v našich silách fotit každý Chakra zvlášť, proto na fotografii vidíte pouze typ, ne konkrétní Chakra, který obdržíte.</p>

<p>&nbsp;</p>

<p>Kód výrobku: HL-008</p>
",POUŽITÍ,"<p><span><span>Vložte Chakra vajíčko do pochvy silnějším koncem napřed (pokud jste zvyklá, použijte lubrikant) a uvolněně dýchejte. K nejzákladnějším cvikům patří vtahování Chakra vajíčka při nádechu pomocí svalů pánevního dna dovnitř, při výdechu naopak svaly povolujte a nechte vajíčko vyklouznout až k poševnímu vchodu. Cítit, jak ve vás vaše Chakra vajíčko putuje, vyžaduje určitý um a čas, proto buďte trpělivá a učte se naslouchat vlastnímu tělu.</span></span></p>

<p>&nbsp;</p>

<p><span><span>Chcete se o cvičení s Chakra vajíčky zajímat více do podrobností? My zde uvádíme jen naprostý základ, ale existují celé knihy o jejich historii, použití, zdravotních přínosech a cvicích. Doporučujeme například „How to use yoni eggs for sensual healing“ od Grace Diaz, která má i velmi zajímavý YouTube kanál.</span></span></p>
",ESOTERIKA,"<p>Zajímá vás i esoterický pohled na pomůcky Chakra?</p>

<p>&nbsp;</p>

<p>Potom je dobré vědět, že černý obsidián je ochranný kámen, jež jsme vybrali pro pomůcky Chakra pro jeho silně léčivé účinky. Vynáší z vašeho nejhlubšího nitra na povrch pravdu, odhaluje emocionální bloky a traumata a pomáhá je jednou pro vždy vyřešit.</p>

<p>&nbsp;</p>

<p>Patří ke kamenům vyzařujícím mužskou energii podporující proces léčení, odvahu a silnou vůli.</p>
",,,,,,,,,,,,
product_49eb38ea-c647-d509-d296-a7ecda0959f8,Product,Obsidiánový Chakra Healing,<p>&nbsp;</p>,2c1c09_9ebb3c1a100243e3a1ad9f580c79e544~mv2_d_3000_3000_s_4_2.png,Chakra Healing,HL-004,,3649.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span><span>+ velikost 18,4 x 3,7&nbsp;cm</span></span></span></p>

<p>+ 100% přírodní obsidián bez chemických a umělých přísad<br>
+ každý Chakra je originál ručně vyráběný a opracovávaný bez použití barviv a chemikálií<br>
+ původ minerálů Asie<br>
+ určený k intimní masáži<br>
<br>
Mějte, prosím, na paměti, že Chakra jsou reálné polodrahokamy a každý je ručně vyráběný a opracovaný originál s veškerou svojí individualitou, jedinečnou strukturou, barvou i částicemi uvnitř, které nejsou vadami, ale přirozenou součástí minerálu. Není bohužel v našich silách fotit každý Chakra zvlášť, proto na fotografii vidíte pouze typ, ne konkrétní Chakra, který obdržíte.</p>

<p>&nbsp;</p>

<p>Kód výrobku: HL-004</p>
",ESOTERIKA,"<p>Zajímá vás i esoterický pohled na pomůcky Chakra?</p>

<p>&nbsp;</p>

<p>Potom je dobré vědět, že černý obsidián je ochranný kámen, jež jsme vybrali pro pomůcky Chakra pro jeho silně léčivé účinky. Vynáší z vašeho nejhlubšího nitra na povrch pravdu, odhaluje emocionální bloky a traumata a pomáhá je jednou pro vždy vyřešit.</p>

<p>&nbsp;</p>

<p>Patří ke kamenům vyzařujícím mužskou energii podporující proces léčení, odvahu a silnou vůli.</p>
",,,,,,,,,,,,,,
product_564b5ec6-3658-d811-620d-4632da15507c,Product,Obsidiánový Chakra Healing,<p>&nbsp;</p>,2c1c09_c87087060e854de6a3ff2895404b2baa~mv2_d_3000_3000_s_4_2.png,Chakra Healing,HL-005,,2499.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span><span>+ velikost 16,8&nbsp;x 2,9&nbsp;cm</span></span></span></p>

<p>+ 100% přírodní obsidián bez chemických a umělých přísad<br>
+ každý Chakra je originál ručně vyráběný a opracovávaný bez použití barviv a chemikálií<br>
+ původ minerálů Asie<br>
+ určený k intimní masáži<br>
<br>
Mějte, prosím, na paměti, že Chakra jsou reálné polodrahokamy a každý je ručně vyráběný a opracovaný originál s veškerou svojí individualitou, jedinečnou strukturou, barvou i částicemi uvnitř, které nejsou vadami, ale přirozenou součástí minerálu. Není bohužel v našich silách fotit každý Chakra zvlášť, proto na fotografii vidíte pouze typ, ne konkrétní Chakra, který obdržíte.</p>

<p>&nbsp;</p>

<p>Kód výrobku: HL-005</p>
",ESOTERIKA,"<p>Zajímá vás i esoterický pohled na pomůcky Chakra?</p>

<p>&nbsp;</p>

<p>Potom je dobré vědět, že černý obsidián je ochranný kámen, jež jsme vybrali pro pomůcky Chakra pro jeho silně léčivé účinky. Vynáší z vašeho nejhlubšího nitra na povrch pravdu, odhaluje emocionální bloky a traumata a pomáhá je jednou pro vždy vyřešit.</p>

<p>&nbsp;</p>

<p>Patří ke kamenům vyzařujícím mužskou energii podporující proces léčení, odvahu a silnou vůli.</p>
",,,,,,,,,,,,,,
product_8d58582c-7450-ecff-dbfc-5c20e6606cc3,Product,Obsidiánový Chakra Healing,<p>&nbsp;</p>,2c1c09_337dc0883ab141c6a783ffddc7fe8055~mv2_d_3000_3000_s_4_2.png,Chakra Healing,HL-007,,3349.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span><span>+ velikost 16,5&nbsp;x 3,3&nbsp;cm</span></span></span></p>

<p>+ 100% přírodní obsidián bez chemických a umělých přísad<br>
+ každý Chakra je originál ručně vyráběný a opracovávaný bez použití barviv a chemikálií<br>
+ původ minerálů Asie<br>
+ určený k intimní masáži<br>
<br>
Mějte, prosím, na paměti, že Chakra jsou reálné polodrahokamy a každý je ručně vyráběný a opracovaný originál s veškerou svojí individualitou, jedinečnou strukturou, barvou i částicemi uvnitř, které nejsou vadami, ale přirozenou součástí minerálu. Není bohužel v našich silách fotit každý Chakra zvlášť, proto na fotografii vidíte pouze typ, ne konkrétní Chakra, který obdržíte.</p>

<p>&nbsp;</p>

<p>Kód výrobku: HL-007</p>
",ESOTERIKA,"<p>Zajímá vás i esoterický pohled na pomůcky Chakra?</p>

<p>&nbsp;</p>

<p>Potom je dobré vědět, že černý obsidián je ochranný kámen, jež jsme vybrali pro pomůcky Chakra pro jeho silně léčivé účinky. Vynáší z vašeho nejhlubšího nitra na povrch pravdu, odhaluje emocionální bloky a traumata a pomáhá je jednou pro vždy vyřešit.</p>

<p>&nbsp;</p>

<p>Patří ke kamenům vyzařujícím mužskou energii podporující proces léčení, odvahu a silnou vůli.</p>
",,,,,,,,,,,,,,
product_53ce339e-6f0b-e92d-7c8f-ebad13007adc,Product,Obsidiánový Chakra Healing,<p>&nbsp;</p>,2c1c09_bcce01fcc10941b586801fd9abeff748~mv2_d_3000_3000_s_4_2.png,Chakra Healing,HL-002,,2149.0,,true,AMOUNT,0.0,4,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span><span>+ velikost 16,8&nbsp;x 3,7&nbsp;cm</span></span></span></p>

<p>+ 100% přírodní obsidián bez chemických a umělých přísad<br>
+ každý Chakra je originál ručně vyráběný a opracovávaný bez použití barviv a chemikálií<br>
+ původ minerálů Asie<br>
+ určený k intimní masáži<br>
<br>
Mějte, prosím, na paměti, že Chakra jsou reálné polodrahokamy a každý je ručně vyráběný a opracovaný originál s veškerou svojí individualitou, jedinečnou strukturou, barvou i částicemi uvnitř, které nejsou vadami, ale přirozenou součástí minerálu. Není bohužel v našich silách fotit každý Chakra zvlášť, proto na fotografii vidíte pouze typ, ne konkrétní Chakra, který obdržíte.</p>

<p>&nbsp;</p>

<p>Kód výrobku: HL-002</p>
",ESOTERIKA,"<p>Zajímá vás i esoterický pohled na pomůcky Chakra?</p>

<p>&nbsp;</p>

<p>Potom je dobré vědět, že černý obsidián je ochranný kámen, jež jsme vybrali pro pomůcky Chakra pro jeho silně léčivé účinky. Vynáší z vašeho nejhlubšího nitra na povrch pravdu, odhaluje emocionální bloky a traumata a pomáhá je jednou pro vždy vyřešit.</p>

<p>&nbsp;</p>

<p>Patří ke kamenům vyzařujícím mužskou energii podporující proces léčení, odvahu a silnou vůli.</p>
",,,,,,,,,,,,,,
product_589e9840-ed6b-d415-fa55-1a893aa9e422,Product,Jadeitový Chakra Harmony (sada 3 ks),<p>&nbsp;</p>,2c1c09_e5649717312e471fb67f0848c73b7897~mv2_d_3000_3000_s_4_2.png,Chakra Harmony,HM-008,,1099.0,,true,AMOUNT,0.0,3,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span>Chakra vajíčka (v originále tzv. yoni eggs) jsou polodrahokamy vybroušené do specifického tvaru vajíček různých velikostí, používané pro posílení svalů pánevního dna a kultivaci sexuální energie. Slovo „yoni“ pochází ze sanskrtu a označuje ženské genitálie, v doslovném překladu pak znamená „posvátné místo“.</span></span></p>

<p>&nbsp;</p>

<p><span><span>Odhaduje se, že ženy používají tato vajíčka už po více než 5 000 let. Císařovny a konkubíny královského paláce v Číně používaly vejce vyřezávaná z nefritu, aby získaly přístup k sexuální síle, probudily v sobě smyslnost a udržely si zdraví až do svého stáří. Až do nedávné doby byla tato stará tajná praxe dostupná pouze členům královské rodiny a vybraným praktikujícím taoismus.</span></span></p>

<p>&nbsp;</p>

<p><span><span><span>+ velikost 4,5 x 3 cm, 4 x 2,5 cm, 3 x 2 cm</span></span></span></p>

<p><span><span><span><span>+ 100% přírodní bílý jadeit bez chemických a umělých přísad</span></span></span></span><br>
<span><span><span><span><span><span><span><span><span><span><span><span>+ každý Chakra je originál ručně vyráběný a opracovávaný bez použití barviv a chemikálií</span></span></span></span></span></span></span></span></span><br>
<span><span><span><span><span><span><span><span><span>+ původ minerálů Asie</span></span></span></span></span></span></span></span></span><br>
<span><span><span><span><span><span><span><span><span>+ určený k intimní masáži</span></span></span></span></span></span></span></span></span><br>
<br>
<span><span><span><span><span><span><span><span><span>Mějte, prosím, na paměti, že Chakra jsou reálné polodrahokamy a každý je ručně vyráběný a opracovaný originál s veškerou svojí individualitou, jedinečnou strukturou, barvou i částicemi uvnitř, které nejsou vadami, ale přirozenou součástí minerálu. Není bohužel v našich silách fotit každý Chakra zvlášť, proto na fotografii vidíte pouze typ, ne konkrétní Chakra, který obdržíte.</span></span></span></span></span></span></span></span></span></span></span></span></p>

<p>&nbsp;</p>

<p>Kód výrobku: HM-008</p>
",POUŽITÍ,"<p><span><span>Vložte Chakra vajíčko do pochvy silnějším koncem napřed (pokud jste zvyklá, použijte lubrikant) a uvolněně dýchejte. K nejzákladnějším cvikům patří vtahování Chakra vajíčka při nádechu pomocí svalů pánevního dna dovnitř, při výdechu naopak svaly povolujte a nechte vajíčko vyklouznout až k poševnímu vchodu. Cítit, jak ve vás vaše Chakra vajíčko putuje, vyžaduje určitý um a čas, proto buďte trpělivá a učte se naslouchat vlastnímu tělu.</span></span></p>

<p>&nbsp;</p>

<p><span><span>Chcete se o cvičení s Chakra vajíčky zajímat více do podrobností? My zde uvádíme jen naprostý základ, ale existují celé knihy o jejich historii, použití, zdravotních přínosech a cvicích. Doporučujeme například „How to use yoni eggs for sensual healing“ od Grace Diaz, která má i velmi zajímavý YouTube kanál.</span></span></p>
",ESOTERIKA,"<p><span><span><span><span>Zajímá vás i esoterický pohled na pomůcky Chakra?</span></span></span></span><br>
<br>
<span><span><span><span><span><span><span><span><span><span><span><span>Pak vězte,</span></span></span></span></span></span></span></span></span><span><span> že bílý jadeit je posvátným kamenem Dálného východu přinášejícím klid a vyrovnanost. V takovém stavu pak pomáhá objevit moudrost a pochopení pro vše, co se kolem nás děje. Stabilizuje osobnost a uvádí duši do souladu s tělem.</span></span></span></span></span></p>

<p>&nbsp;</p>

<p><span><span><span>Patří ke kamenům vyzařujícím ženskou energii přinášející vnitřní mír a harmonii do naší duše.</span></span></span></p>
",,,,,,,,,,,,
product_881c0cad-cce7-ed6a-c3c7-b0962b212135,Product,Jadeitový Chakra Harmony,<p>&nbsp;</p>,2c1c09_fccb5dbe06404277aa73c82d166e8ec2~mv2_d_3000_3000_s_4_2.png,Chakra Harmony,HM-004,,3649.0,,true,AMOUNT,0.0,1,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span><span>+ velikost 18,4&nbsp;x 3,7&nbsp;cm</span></span></span></p>

<p><span><span><span><span>+ 100% přírodní bílý jadeit bez chemických a umělých přísad</span></span></span></span><br>
<span><span><span><span><span><span><span><span><span><span><span><span>+ každý Chakra je originál ručně vyráběný a opracovávaný bez použití barviv a chemikálií</span></span></span></span></span></span></span></span></span><br>
<span><span><span><span><span><span><span><span><span>+ původ minerálů Asie</span></span></span></span></span></span></span></span></span><br>
<span><span><span><span><span><span><span><span><span>+ určený k intimní masáži</span></span></span></span></span></span></span></span></span><br>
<br>
<span><span><span><span><span><span><span><span><span>Mějte, prosím, na paměti, že Chakra jsou reálné polodrahokamy a každý je ručně vyráběný a opracovaný originál s veškerou svojí individualitou, jedinečnou strukturou, barvou i částicemi uvnitř, které nejsou vadami, ale přirozenou součástí minerálu. Není bohužel v našich silách fotit každý Chakra zvlášť, proto na fotografii vidíte pouze typ, ne konkrétní Chakra, který obdržíte.</span></span></span></span></span></span></span></span></span></span></span></span></p>

<p>&nbsp;</p>

<p>Kód výrobku: HM-004</p>
",ESOTERIKA,"<p><span><span><span><span>Zajímá vás i esoterický pohled na pomůcky Chakra?</span></span></span></span><br>
<br>
<span><span><span><span><span><span><span><span><span><span><span><span>Pak vězte,</span></span></span></span></span></span></span></span></span><span><span> že bílý jadeit je posvátným kamenem Dálného východu přinášejícím klid a vyrovnanost. V takovém stavu pak pomáhá objevit moudrost a pochopení pro vše, co se kolem nás děje. Stabilizuje osobnost a uvádí duši do souladu s tělem.</span></span></span></span></span></p>

<p>&nbsp;</p>

<p><span><span><span>Patří ke kamenům vyzařujícím ženskou energii přinášející vnitřní mír a harmonii do naší duše.</span></span></span></p>
",,,,,,,,,,,,,,
product_3f3570c5-1d9a-31fb-03f8-4cc8b3fb9772,Product,Jadeitový Chakra Harmony,<p>&nbsp;</p>,2c1c09_91493aa372f74936b62d94e88ae6b3f4~mv2_d_3000_3000_s_4_2.png,Chakra Harmony,HM-005,,2500.0,,true,AMOUNT,0.0,0,0.0,,,,,,,,,,,,,,,,,,,DETAIL,"<p><span><span><span>+ velikost 16,8&nbsp;x 2,9&nbsp;cm</span></span></span></p>

<p><span><span><span><span>+ 100% přírodní bílý jadeit bez chemických a umělých přísad</span></span></span></span><br>
<span><span><span><span><span><span><span><span><span><span><span><span>+ každý Chakra je originál ručně vyráběný a opracovávaný bez použití barviv a chemikálií</span></span></span></span></span></span></span></span></span><br>
<span><span><span><span><span><span><span><span><span>+ původ minerálů Asie</span></span></span></span></span></span></span></span></span><br>
<span><span><span><span><span><span><span><span><span>+ určený k intimní masáži</span></span></span></span></span></span></span></span></span><br>
<br>
<span><span><span><span><span><span><span><span><span>Mějte, prosím, na paměti, že Chakra jsou reálné polodrahokamy a každý je ručně vyráběný a opracovaný originál s veškerou svojí individualitou, jedinečnou strukturou, barvou i částicemi uvnitř, které nejsou vadami, ale přirozenou součástí minerálu. Není bohužel v našich silách fotit každý Chakra zvlášť, proto na fotografii vidíte pouze typ, ne konkrétní Chakra, který obdržíte.</span></span></span></span></span></span></span></span></span></span></span></span></p>

<p>&nbsp;</p>

<p>Kód výrobku: HM-005</p>
",ESOTERIKA,"<p><span><span><span><span>Zajímá vás i esoterický pohled na pomůcky Chakra?</span></span></span></span><br>
<br>
<span><span><span><span><span><span><span><span><span><span><span><span>Pak vězte,</span></span></span></span></span></span></span></span></span><span><span> že bílý jadeit je posvátným kamenem Dálného východu přinášejícím klid a vyrovnanost. V takovém stavu pak pomáhá objevit moudrost a pochopení pro vše, co se kolem nás děje. Stabilizuje osobnost a uvádí duši do souladu s tělem.</span></span></span></span></span></p>

<p>&nbsp;</p>

<p><span><span><span>Patří ke kamenům vyzařujícím ženskou energii přinášející vnitřní mír a harmonii do naší duše.</span></span></span></p>
",,,,,,,,,,,,,,
